"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2024","2.5553","2.7380","2.7630","2.5070","2.22M","-6.67%"
"07/22/2024","2.7378","2.8224","2.8934","2.6784","1.56M","-2.97%"
"07/21/2024","2.8216","2.6382","2.8613","2.4106","1.36M","6.93%"
"07/20/2024","2.6388","2.5441","2.6728","2.4593","1.28M","3.73%"
"07/19/2024","2.5439","2.4396","2.5863","2.3125","2.46M","4.30%"
"07/18/2024","2.4390","2.1692","2.4939","2.1692","1.84M","12.42%"
"07/17/2024","2.1695","2.2028","2.2984","2.0995","2.32M","-1.56%"
"07/16/2024","2.2038","2.1590","2.2987","2.0636","3.02M","1.99%"
"07/15/2024","2.1607","1.7319","2.1761","1.7246","2.91M","24.71%"
"07/14/2024","1.7326","1.6020","1.7626","1.5997","1.94M","8.08%"
"07/13/2024","1.6031","1.5663","1.6444","1.5635","1.73M","2.35%"
"07/12/2024","1.5663","1.5430","1.6198","1.5253","2.68M","1.56%"
"07/11/2024","1.5423","1.6470","1.7315","1.4985","2.59M","-6.44%"
"07/10/2024","1.6484","1.7022","1.7817","1.6033","2.22M","-3.08%"
"07/09/2024","1.7008","1.6568","1.7489","1.6120","2.46M","2.69%"
"07/08/2024","1.6563","1.6663","1.8156","1.5578","3.29M","-0.59%"
"07/07/2024","1.6661","2.0078","2.0164","1.6463","1.58M","-17.01%"
"07/06/2024","2.0075","1.9213","2.0634","1.8793","1.61M","4.55%"
"07/05/2024","1.9201","1.7275","1.9858","1.4929","4.79M","11.18%"
"07/04/2024","1.7270","1.8098","1.8943","1.7095","3.19M","-4.55%"
"07/03/2024","1.8093","2.2060","2.2078","1.7934","2.28M","-17.92%"
"07/02/2024","2.2042","2.2714","2.3698","2.1595","1.37M","-2.93%"
"07/01/2024","2.2708","2.1976","2.3535","2.1633","1.57M","3.32%"
"06/30/2024","2.1979","2.0915","2.2170","1.9186","1.18M","5.13%"
"06/29/2024","2.0907","1.9833","2.1754","1.9833","1.12M","5.30%"
"06/28/2024","1.9854","2.1167","2.1487","1.8968","2.23M","-6.21%"
"06/27/2024","2.1169","2.0065","2.2597","1.9696","1.79M","5.57%"
"06/26/2024","2.0052","2.0399","2.1579","1.9111","1.86M","-1.74%"
"06/25/2024","2.0407","1.8279","2.0830","1.8101","2.71M","11.67%"
"06/24/2024","1.8275","1.5847","1.8591","1.4900","4.22M","15.21%"
"06/23/2024","1.5862","1.7427","1.8058","1.5752","1.18M","-8.94%"
"06/22/2024","1.7420","1.7612","1.8190","1.7045","1.09M","-1.08%"
"06/21/2024","1.7611","1.9534","1.9847","1.7364","2.36M","-9.90%"
"06/20/2024","1.9546","2.0270","2.1892","1.9485","2.22M","-3.66%"
"06/19/2024","2.0289","2.0661","2.1646","1.9738","1.81M","-1.88%"
"06/18/2024","2.0678","2.3086","2.3279","1.8816","3.23M","-10.38%"
"06/17/2024","2.3073","2.6080","2.6447","2.2327","2.04M","-11.52%"
"06/16/2024","2.6076","2.4204","2.6364","2.3627","809.20K","7.73%"
"06/15/2024","2.4204","2.3412","2.4643","2.3062","1.15M","3.40%"
"06/14/2024","2.3407","2.3856","2.4905","2.2102","1.87M","-1.91%"
"06/13/2024","2.3862","2.6655","2.6655","2.3580","356.35K","-10.49%"
"06/12/2024","2.6657","2.5456","2.9051","2.4402","323.11K","4.72%"
"06/11/2024","2.5456","2.6932","2.7338","2.3944","316.28K","-5.48%"
"06/10/2024","2.6931","2.7754","2.9037","2.6497","161.61K","-2.97%"
"06/09/2024","2.7755","2.7070","2.8154","2.6436","128.61K","2.52%"
"06/08/2024","2.7073","2.8591","2.9352","2.6527","312.19K","-5.27%"
"06/07/2024","2.8578","3.2319","3.3376","2.5532","261.58K","-11.57%"
"06/06/2024","3.2316","3.3922","3.4519","3.2223","219.23K","-4.73%"
"06/05/2024","3.3921","3.4099","3.5859","3.3568","241.74K","-0.46%"
"06/04/2024","3.4079","3.2676","3.5029","3.2032","229.50K","4.31%"
"06/03/2024","3.2671","3.2005","3.5140","3.0741","226.99K","2.07%"
"06/02/2024","3.2008","3.2766","3.3557","3.1028","151.21K","-2.32%"
"06/01/2024","3.2768","3.3050","3.4499","3.2627","203.18K","-0.87%"
"05/31/2024","3.3057","3.3662","3.5572","3.1824","210.82K","-1.81%"
"05/30/2024","3.3666","3.6767","3.8014","3.3251","234.36K","-8.40%"
"05/29/2024","3.6755","3.7756","4.0789","3.6695","240.40K","-2.71%"
"05/28/2024","3.7778","3.3995","3.8372","3.1668","265.98K","11.11%"
"05/27/2024","3.4002","2.9515","3.4481","2.9424","204.22K","15.22%"
"05/26/2024","2.9511","3.0925","3.2452","2.9219","154.95K","-4.55%"
"05/25/2024","3.0919","2.8688","3.0963","2.8426","217.43K","7.75%"
"05/24/2024","2.8694","2.9237","2.9423","2.7210","424.87K","-1.89%"
"05/23/2024","2.9246","3.0337","3.0572","2.7020","342.95K","-3.60%"
"05/22/2024","3.0339","2.7513","3.2702","2.7275","336.85K","10.28%"
"05/21/2024","2.7512","2.8221","2.8998","2.6607","236.82K","-2.58%"
"05/20/2024","2.8240","2.5308","2.8716","2.4978","246.01K","11.55%"
"05/19/2024","2.5315","2.5559","2.6274","2.4309","253.72K","-0.96%"
"05/18/2024","2.5560","2.7934","2.8347","2.5105","264.67K","-8.47%"
