"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2024","1.6420","1.6448","1.6768","1.6317","44.70M","-0.18%"
"03/29/2024","1.6450","1.6662","1.6682","1.6098","54.59M","-1.27%"
"03/28/2024","1.6661","1.6541","1.6955","1.6279","72.51M","0.72%"
"03/27/2024","1.6542","1.7008","1.7399","1.6267","110.68M","-2.74%"
"03/26/2024","1.7008","1.7238","1.7536","1.6657","105.41M","-1.34%"
"03/25/2024","1.7238","1.6704","1.7485","1.6481","114.94M","3.17%"
"03/24/2024","1.6709","1.5953","1.6745","1.5861","83.65M","4.65%"
"03/23/2024","1.5966","1.6042","1.6369","1.5801","78.61M","-0.47%"
"03/22/2024","1.6041","1.6844","1.6954","1.5639","125.43M","-4.77%"
"03/21/2024","1.6844","1.7451","1.7964","1.6758","168.32M","-3.47%"
"03/20/2024","1.7450","1.6302","1.7646","1.5495","274.40M","7.03%"
"03/19/2024","1.6304","1.6225","1.6730","1.4492","343.14M","0.49%"
"03/18/2024","1.6225","1.7364","1.7382","1.6001","202.94M","-6.56%"
"03/17/2024","1.7365","1.7561","1.7753","1.6154","171.57M","-1.12%"
"03/16/2024","1.7561","1.8859","1.9541","1.7196","205.16M","-6.86%"
"03/15/2024","1.8856","2.0160","2.0325","1.7955","165.76M","-6.48%"
"03/14/2024","2.0162","2.1153","2.1153","1.9361","162.08M","-4.68%"
"03/13/2024","2.1152","2.0176","2.2542","2.0175","204.23M","4.84%"
"03/12/2024","2.0176","2.0829","2.0989","1.9136","128.99M","-3.11%"
"03/11/2024","2.0824","2.0679","2.1364","1.9748","133.58M","0.77%"
"03/10/2024","2.0664","2.0959","2.1266","2.0037","105.39M","-1.40%"
"03/09/2024","2.0958","2.1554","2.1588","2.0786","81.90M","-1.77%"
"03/08/2024","2.1335","2.1639","2.2741","2.0519","163.99M","-1.40%"
"03/07/2024","2.1637","2.0539","2.1837","2.0192","146.91M","5.44%"
"03/06/2024","2.0521","1.9677","2.1446","1.9242","182.83M","4.27%"
"03/05/2024","1.9680","1.9796","2.1776","1.7598","332.88M","-0.58%"
"03/04/2024","1.9795","2.0439","2.0691","1.9215","135.18M","-3.16%"
"03/03/2024","2.0442","2.0249","2.1944","1.8815","180.28M","0.97%"
"03/02/2024","2.0246","1.9868","2.0246","1.9522","85.68M","1.90%"
"03/01/2024","1.9868","1.9434","2.0123","1.9420","68.11M","2.24%"
"02/29/2024","1.9433","1.8998","2.0743","1.8857","163.28M","2.23%"
"02/28/2024","1.9009","1.8958","1.9789","1.8134","133.12M","0.27%"
"02/27/2024","1.8958","1.9283","1.9532","1.8684","76.02M","-1.69%"
"02/26/2024","1.9284","1.9041","1.9546","1.8082","74.25M","1.28%"
"02/25/2024","1.9041","1.8442","1.9041","1.8303","46.73M","3.25%"
"02/24/2024","1.8442","1.7991","1.8521","1.7522","47.58M","2.51%"
"02/23/2024","1.7991","1.8080","1.8278","1.7396","73.02M","-0.55%"
"02/22/2024","1.8090","1.8768","1.8966","1.7915","82.31M","-3.61%"
"02/21/2024","1.8768","2.0098","2.0169","1.8060","88.81M","-6.62%"
"02/20/2024","2.0098","2.0541","2.0879","1.9015","118.24M","-2.15%"
"02/19/2024","2.0540","2.0387","2.0981","2.0178","65.50M","0.75%"
"02/18/2024","2.0386","1.9694","2.0513","1.9441","43.28M","3.52%"
"02/17/2024","1.9694","2.0104","2.0182","1.9077","35.92M","-2.04%"
"02/16/2024","2.0104","2.0717","2.0937","1.9718","61.13M","-2.96%"
"02/15/2024","2.0717","2.1112","2.1713","2.0393","69.32M","-1.87%"
"02/14/2024","2.1112","2.0468","2.1239","2.0142","62.81M","3.15%"
"02/13/2024","2.0468","2.0756","2.1084","1.9970","62.94M","-1.34%"
"02/12/2024","2.0747","1.9417","2.0801","1.9136","81.54M","6.85%"
"02/11/2024","1.9416","1.9604","2.0090","1.9334","35.84M","-0.96%"
"02/10/2024","1.9604","1.9798","2.0189","1.9365","38.29M","-0.97%"
"02/09/2024","1.9796","1.8628","1.9974","1.8628","80.26M","6.28%"
"02/08/2024","1.8626","1.8986","1.9277","1.8594","70.79M","-1.89%"
"02/07/2024","1.8985","1.8312","1.9317","1.8107","84.40M","3.71%"
"02/06/2024","1.8305","1.7355","1.8745","1.7295","104.63M","5.48%"
"02/05/2024","1.7355","1.7310","1.7876","1.7011","48.48M","0.26%"
"02/04/2024","1.7310","1.7656","1.7763","1.7247","34.65M","-1.96%"
"02/03/2024","1.7656","1.7927","1.8367","1.7645","33.86M","-1.51%"
"02/02/2024","1.7927","1.7847","1.8169","1.7588","52.41M","0.40%"
"02/01/2024","1.7855","1.7637","1.7873","1.6917","72.61M","1.24%"
"01/31/2024","1.7636","1.8851","1.8903","1.7437","94.58M","-6.54%"
"01/30/2024","1.8869","1.8548","1.9707","1.8373","103.85M","1.73%"
"01/29/2024","1.8548","1.7987","1.8589","1.7730","71.80M","3.12%"
"01/28/2024","1.7987","1.7962","1.8965","1.7856","72.71M","0.14%"
"01/27/2024","1.7962","1.8167","1.8412","1.7731","43.35M","-1.13%"
"01/26/2024","1.8167","1.7304","1.8214","1.7125","95.63M","4.98%"
"01/25/2024","1.7305","1.7377","1.7733","1.6413","80.16M","-0.40%"
"01/24/2024","1.7374","1.6903","1.7432","1.6330","109.40M","2.78%"
"01/23/2024","1.6904","1.6873","1.7359","1.5468","160.13M","0.18%"
"01/22/2024","1.6873","1.8159","1.8320","1.6571","131.67M","-7.08%"
"01/21/2024","1.8159","1.8172","1.9016","1.7834","65.54M","-0.08%"
"01/20/2024","1.8173","1.8558","1.8558","1.7592","61.52M","-2.10%"
"01/19/2024","1.8562","1.8919","1.9035","1.7266","113.46M","-1.79%"
"01/18/2024","1.8901","2.0385","2.0406","1.8458","106.67M","-7.28%"
"01/17/2024","2.0385","2.1514","2.1642","2.0024","75.79M","-5.25%"
"01/16/2024","2.1514","2.1092","2.2044","2.0475","100.20M","2.01%"
"01/15/2024","2.1091","2.0323","2.1724","2.0298","92.52M","3.75%"
"01/14/2024","2.0327","2.1769","2.1928","2.0214","82.61M","-6.62%"
"01/13/2024","2.1769","2.2026","2.2169","2.0739","112.34M","-1.30%"
"01/12/2024","2.2056","2.2593","2.3997","2.1144","242.49M","-2.38%"
"01/11/2024","2.2594","2.2233","2.3796","2.1344","267.88M","1.63%"
"01/10/2024","2.2232","1.8419","2.2691","1.8340","374.83M","20.71%"
"01/09/2024","1.8417","1.8205","1.8483","1.6274","193.05M","1.17%"
"01/08/2024","1.8204","1.7223","1.8610","1.5737","233.40M","5.65%"
"01/07/2024","1.7231","1.7526","1.8858","1.6898","146.73M","-1.57%"
"01/06/2024","1.7506","1.9497","1.9618","1.6922","159.87M","-10.21%"
"01/05/2024","1.9497","2.0038","2.0153","1.8268","207.47M","-2.61%"
"01/04/2024","2.0019","1.9137","2.1143","1.8153","282.81M","4.62%"
"01/03/2024","1.9136","1.7714","2.0806","1.4841","549.74M","8.00%"
"01/02/2024","1.7718","1.7344","1.8380","1.7057","183.47M","2.14%"
"01/01/2024","1.7346","1.5613","1.7459","1.5145","129.60M","11.16%"
"12/31/2023","1.5605","1.4801","1.6637","1.4799","144.39M","5.53%"
"12/30/2023","1.4788","1.5103","1.5330","1.4311","82.44M","-2.10%"
