"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","1.251","1.175","1.276","1.000","13.62M","6.50%"
"01/07/2024","1.175","1.230","1.279","1.169","4.87M","-4.33%"
"01/06/2024","1.228","1.328","1.328","1.191","4.87M","-7.38%"
"01/05/2024","1.326","1.436","1.442","1.242","5.88M","-7.51%"
"01/04/2024","1.434","1.378","1.497","1.355","7.46M","4.21%"
"01/03/2024","1.376","1.488","1.523","1.175","10.76M","-7.70%"
"01/02/2024","1.490","1.390","1.709","1.390","22.63M","7.21%"
"01/01/2024","1.390","1.259","1.404","1.198","7.29M","10.26%"
"12/31/2023","1.261","1.300","1.359","1.249","5.37M","-2.56%"
"12/30/2023","1.294","1.390","1.412","1.290","5.41M","-6.77%"
"12/29/2023","1.388","1.393","1.558","1.300","15.44M","0.00%"
"12/28/2023","1.387","1.511","1.520","1.246","14.48M","-8.14%"
"12/27/2023","1.510","1.652","1.691","1.457","10.29M","-8.71%"
"12/26/2023","1.655","1.807","1.808","1.564","11.53M","-8.28%"
"12/25/2023","1.804","1.622","1.941","1.574","19.31M","11.14%"
"12/24/2023","1.623","1.862","1.980","1.602","21.44M","-13.09%"
"12/23/2023","1.867","1.645","1.974","1.512","26.81M","12.96%"
"12/22/2023","1.653","1.489","1.989","1.452","64.43M","11.85%"
"12/21/2023","1.478","0.977","1.570","0.956","75.50M","51.39%"
"12/20/2023","0.976","0.851","0.979","0.844","13.18M","14.66%"
"12/19/2023","0.851","0.928","0.955","0.842","9.55M","-8.15%"
"12/18/2023","0.927","0.867","0.927","0.771","12.65M","7.02%"
"12/17/2023","0.866","0.941","1.032","0.865","17.49M","-8.03%"
"12/16/2023","0.942","0.839","0.947","0.813","19.13M","12.25%"
"12/15/2023","0.839","0.744","0.944","0.724","40.11M","12.59%"
"12/14/2023","0.745","0.680","0.745","0.679","13.58M","9.88%"
"12/13/2023","0.678","0.678","0.714","0.604","14.18M","0.00%"
"12/12/2023","0.679","0.749","0.813","0.661","18.49M","-9.49%"
"12/11/2023","0.750","0.739","0.819","0.678","42.57M","1.45%"
"12/10/2023","0.739","0.624","0.752","0.624","26.07M","19.18%"
"12/09/2023","0.620","0.650","0.759","0.603","50.66M","-4.44%"
"12/08/2023","0.649","0.447","0.691","0.445","89.34M","45.34%"
"12/07/2023","0.447","0.427","0.447","0.414","9.30M","4.71%"
"12/06/2023","0.426","0.422","0.460","0.422","10.65M","1.07%"
"12/05/2023","0.422","0.425","0.428","0.409","7.11M","-0.45%"
"12/04/2023","0.424","0.444","0.469","0.419","13.05M","-4.59%"
"12/03/2023","0.444","0.452","0.470","0.441","9.34M","-1.66%"
"12/02/2023","0.452","0.447","0.465","0.439","11.50M","1.14%"
"12/01/2023","0.447","0.398","0.494","0.392","24.93M","12.35%"
"11/30/2023","0.398","0.382","0.414","0.381","10.58M","4.19%"
"11/29/2023","0.382","0.386","0.406","0.376","11.13M","-1.06%"
"11/28/2023","0.386","0.354","0.388","0.344","11.43M","8.80%"
"11/27/2023","0.354","0.375","0.378","0.344","7.48M","-5.62%"
"11/26/2023","0.376","0.391","0.391","0.364","6.37M","-3.77%"
"11/25/2023","0.390","0.386","0.399","0.379","6.57M","0.90%"
"11/24/2023","0.387","0.377","0.393","0.370","8.07M","2.82%"
"11/23/2023","0.376","0.390","0.398","0.374","9.70M","-3.41%"
"11/22/2023","0.389","0.331","0.416","0.331","29.29M","17.28%"
"11/21/2023","0.332","0.361","0.369","0.332","12.27M","-8.16%"
"11/20/2023","0.362","0.390","0.392","0.357","7.25M","-7.00%"
"11/19/2023","0.389","0.391","0.397","0.372","10.00M","-0.21%"
"11/18/2023","0.390","0.365","0.396","0.338","15.75M","6.80%"
"11/17/2023","0.365","0.377","0.391","0.343","12.03M","-3.16%"
"11/16/2023","0.377","0.427","0.443","0.370","19.17M","-11.32%"
"11/15/2023","0.425","0.371","0.453","0.369","33.14M","13.89%"
"11/14/2023","0.373","0.343","0.385","0.338","18.57M","8.59%"
"11/13/2023","0.343","0.372","0.402","0.343","17.40M","-7.79%"
"11/12/2023","0.373","0.393","0.428","0.369","21.52M","-5.05%"
"11/11/2023","0.392","0.419","0.476","0.364","61.74M","-5.77%"
"11/10/2023","0.416","0.311","0.437","0.309","66.34M","33.39%"
"11/09/2023","0.312","0.263","0.344","0.262","73.46M","18.53%"
"11/08/2023","0.263","0.257","0.271","0.253","11.72M","2.29%"
"11/07/2023","0.257","0.267","0.268","0.247","11.20M","-3.45%"
"11/06/2023","0.267","0.261","0.267","0.250","11.01M","2.42%"
"11/05/2023","0.260","0.277","0.279","0.252","14.36M","-6.10%"
"11/04/2023","0.277","0.254","0.287","0.251","22.53M","8.83%"
"11/03/2023","0.255","0.288","0.288","0.245","29.64M","-11.69%"
"11/02/2023","0.288","0.347","0.389","0.257","103.95M","-16.86%"
"11/01/2023","0.347","0.213","0.364","0.210","149.36M","62.79%"
"10/31/2023","0.213","0.199","0.218","0.198","15.09M","7.14%"
"10/30/2023","0.199","0.195","0.204","0.191","5.44M","1.74%"
"10/29/2023","0.196","0.192","0.196","0.190","2.28M","1.93%"
"10/28/2023","0.192","0.194","0.197","0.190","2.78M","-0.93%"
"10/27/2023","0.194","0.198","0.200","0.190","3.54M","-2.02%"
"10/26/2023","0.198","0.205","0.213","0.193","8.23M","-3.18%"
"10/25/2023","0.204","0.183","0.208","0.182","21.04M","11.59%"
"10/24/2023","0.183","0.189","0.193","0.180","8.38M","-2.87%"
"10/23/2023","0.188","0.181","0.193","0.178","9.36M","4.15%"
"10/22/2023","0.181","0.183","0.186","0.177","5.47M","-1.47%"
"10/21/2023","0.184","0.179","0.197","0.178","13.04M","2.29%"
"10/20/2023","0.179","0.168","0.199","0.168","25.87M","6.41%"
"10/19/2023","0.169","0.161","0.175","0.160","22.15M","4.59%"
"10/18/2023","0.161","0.166","0.166","0.160","1.69M","-2.60%"
"10/17/2023","0.166","0.169","0.171","0.164","3.66M","-2.42%"
"10/16/2023","0.170","0.164","0.171","0.163","4.53M","3.16%"
"10/15/2023","0.164","0.166","0.166","0.163","2.09M","-0.66%"
"10/14/2023","0.166","0.164","0.167","0.163","1.74M","1.04%"
"10/13/2023","0.164","0.162","0.165","0.161","1.89M","1.05%"
"10/12/2023","0.162","0.162","0.162","0.160","1.63M","0.00%"
"10/11/2023","0.162","0.163","0.166","0.160","2.36M","-0.98%"
"10/10/2023","0.163","0.167","0.169","0.161","3.06M","-1.92%"
