"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2022","0.20834","0.21147","0.21666","0.19981","82.81M","-1.48%"
"01/26/2022","0.21147","0.21124","0.22407","0.20423","111.47M","0.11%"
"01/25/2022","0.21124","0.20612","0.21646","0.19727","96.30M","2.51%"
"01/24/2022","0.20607","0.22243","0.22243","0.18602","197.16M","-7.28%"
"01/23/2022","0.22225","0.22223","0.23335","0.21314","109.71M","0.01%"
"01/22/2022","0.22223","0.23462","0.23911","0.20261","165.79M","-5.43%"
"01/21/2022","0.23499","0.25993","0.26783","0.22885","168.47M","-9.67%"
"01/20/2022","0.26015","0.26714","0.28190","0.25849","128.64M","-2.56%"
"01/19/2022","0.26699","0.26567","0.27312","0.25247","78.92M","0.48%"
"01/18/2022","0.26572","0.26993","0.27195","0.25444","66.42M","-1.58%"
"01/17/2022","0.26999","0.27893","0.28371","0.26547","69.68M","-3.24%"
"01/16/2022","0.27904","0.27975","0.28241","0.27394","49.05M","-0.25%"
"01/15/2022","0.27975","0.28114","0.28443","0.27771","48.70M","-0.47%"
"01/14/2022","0.28106","0.27779","0.28539","0.27384","65.55M","1.18%"
"01/13/2022","0.27779","0.29645","0.29671","0.27652","101.09M","-6.28%"
"01/12/2022","0.29641","0.27543","0.29826","0.27271","99.65M","7.63%"
"01/11/2022","0.27540","0.25956","0.27563","0.25676","86.38M","6.10%"
"01/10/2022","0.25958","0.27127","0.27515","0.25016","91.30M","-4.31%"
"01/09/2022","0.27127","0.26452","0.27596","0.26218","74.79M","2.60%"
"01/08/2022","0.26438","0.27246","0.27746","0.25247","116.70M","-2.96%"
"01/07/2022","0.27246","0.29394","0.29989","0.26679","190.75M","-7.38%"
"01/06/2022","0.29417","0.28680","0.29883","0.27138","143.12M","2.56%"
"01/05/2022","0.28683","0.32505","0.34056","0.27024","198.46M","-11.76%"
"01/04/2022","0.32505","0.30667","0.33724","0.30256","189.42M","5.95%"
"01/03/2022","0.30679","0.31224","0.31926","0.29750","74.91M","-1.74%"
"01/02/2022","0.31224","0.30026","0.31903","0.29695","93.95M","3.99%"
"01/01/2022","0.30026","0.29039","0.30112","0.28927","51.71M","3.40%"
"12/31/2021","0.29039","0.29755","0.30862","0.28340","81.55M","-2.41%"
"12/30/2021","0.29755","0.28237","0.30844","0.27743","112.59M","5.38%"
"12/29/2021","0.28237","0.29018","0.29580","0.27568","69.52M","-2.69%"
"12/28/2021","0.29018","0.31362","0.31369","0.27974","120.30M","-7.41%"
