"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2024","0.9698","1.0105","1.0150","0.9634","10.52M","-4.07%"
"06/09/2024","1.0109","0.9731","1.0210","0.9586","7.85M","3.88%"
"06/08/2024","0.9731","1.0308","1.0418","0.9729","12.15M","-5.75%"
"06/07/2024","1.0325","1.1180","1.1287","0.9579","25.45M","-7.56%"
"06/06/2024","1.1170","1.1593","1.1678","1.1025","11.05M","-3.51%"
"06/05/2024","1.1576","1.1472","1.1823","1.1413","17.62M","0.97%"
"06/04/2024","1.1465","1.0905","1.1482","1.0780","11.61M","5.02%"
"06/03/2024","1.0917","1.0640","1.1170","1.0552","11.27M","2.51%"
"06/02/2024","1.0650","1.0965","1.1033","1.0534","12.75M","-2.97%"
"06/01/2024","1.0976","1.0956","1.1068","1.0880","6.13M","0.23%"
"05/31/2024","1.0951","1.1000","1.1323","1.0777","11.28M","-0.45%"
"05/30/2024","1.1001","1.1390","1.1558","1.0757","17.61M","-3.45%"
"05/29/2024","1.1394","1.1571","1.2181","1.1341","23.09M","-1.41%"
"05/28/2024","1.1557","1.1734","1.1933","1.1218","21.60M","-1.63%"
"05/27/2024","1.1749","1.1145","1.1928","1.1135","17.00M","5.39%"
"05/26/2024","1.1148","1.1672","1.1775","1.1000","11.97M","-4.48%"
"05/25/2024","1.1671","1.1328","1.1734","1.1254","11.23M","2.92%"
"05/24/2024","1.1340","1.1793","1.1798","1.0869","16.46M","-3.89%"
"05/23/2024","1.1799","1.1926","1.2081","1.0981","28.19M","-1.18%"
"05/22/2024","1.1940","1.2103","1.2387","1.1709","25.00M","-1.32%"
"05/21/2024","1.2100","1.2648","1.2837","1.1669","31.28M","-4.29%"
"05/20/2024","1.2642","1.1708","1.2878","1.1432","39.35M","8.08%"
"05/19/2024","1.1697","1.2382","1.2574","1.1628","17.21M","-5.33%"
"05/18/2024","1.2356","1.2184","1.3188","1.2160","39.23M","1.35%"
"05/17/2024","1.2191","1.1362","1.2601","1.1352","30.38M","7.35%"
"05/16/2024","1.1356","1.1526","1.1856","1.1146","36.36M","-1.27%"
"05/15/2024","1.1502","1.0096","1.1570","1.0019","29.04M","14.11%"
"05/14/2024","1.0080","1.0674","1.0872","1.0060","22.00M","-5.62%"
"05/13/2024","1.0680","1.0574","1.1151","1.0027","28.19M","1.13%"
"05/12/2024","1.0561","1.0563","1.0879","1.0483","9.66M","-0.05%"
"05/11/2024","1.0566","1.0405","1.0788","1.0270","14.06M","1.51%"
"05/10/2024","1.0409","1.1022","1.1252","1.0269","21.93M","-5.41%"
"05/09/2024","1.1004","1.0330","1.1076","1.0101","21.53M","6.32%"
"05/08/2024","1.0350","1.0979","1.1070","1.0125","21.78M","-5.59%"
"05/07/2024","1.0963","1.1226","1.1793","1.0961","22.79M","-2.32%"
"05/06/2024","1.1223","1.0684","1.1881","1.0684","35.29M","5.06%"
"05/05/2024","1.0682","1.0704","1.0778","1.0287","15.74M","-0.05%"
"05/04/2024","1.0687","1.0666","1.1013","1.0561","15.77M","0.27%"
"05/03/2024","1.0658","1.0169","1.0820","0.9995","29.79M","4.91%"
"05/02/2024","1.0159","0.9535","1.0381","0.9143","27.77M","6.27%"
"05/01/2024","0.9560","0.9212","0.9816","0.8534","38.11M","3.73%"
